OBJECTID,PRIME,SOURCE,SACC,SDATE,DIVISION,FDMID,ADDDATE,MODDATE,Shape__Area,Shape__Length
50546,33,HRFE,Interactive,2011-11-22T00:00:00.000Z,6,330D,,2019-10-29T12:46:04.000Z,440131104.589844,118833.326756363
50547,28,HRFE,Interactive,2011-11-22T00:00:00.000Z,6,281D,,2019-10-29T12:46:04.000Z,762521601.039063,191865.547359972
50548,14,HRFE,Interactive,2011-11-22T00:00:00.000Z,3,144A,,2019-10-29T12:46:04.000Z,1523770.0703125,6339.13912024596
50549,14,HRFE,Interactive,2013-02-07T00:00:00.000Z,3,146H,,2019-10-29T12:46:04.000Z,770432.49609375,11039.3650664778
50550,09,HRFE,Interactive,2011-11-22T00:00:00.000Z,3,92A,,2019-10-29T12:46:04.000Z,8257569.69921875,19622.4203965599
50551,48,HRFE,Interactive,2011-11-22T00:00:00.000Z,4,482B,,2019-10-29T12:46:04.000Z,4200852.19921875,10713.4608598108
50552,65,HRFE,Interactive,2011-11-22T00:00:00.000Z,1,652D,,2019-10-29T12:46:04.000Z,164390373.578125,65595.3086311045
50553,14,HRFE,Interactive,2011-11-22T00:00:00.000Z,3,143A,,2019-10-29T12:46:04.000Z,1447865.09375,6190.70439674146
50554,EN,HRFE,Interactive,2011-11-22T00:00:00.000Z,4,701D,,2019-10-29T12:46:04.000Z,410708.765625,2582.47005254652
50555,45,HRFE,Interactive,2011-11-22T00:00:00.000Z,4,451B,,2019-10-29T12:46:04.000Z,3967012.94921875,9403.73442240371
50556,41,HRFE,Interactive,2011-11-22T00:00:00.000Z,4,413D,,2019-10-29T12:46:04.000Z,26071233.953125,20655.1387745429
50557,14,HRFE,Interactive,2015-10-22T00:00:00.000Z,3,147H,,2019-10-29T12:46:04.000Z,583096.08984375,9737.39033006422
50558,12,HRFE,Interactive,2013-02-07T00:00:00.000Z,3,123H,,2019-10-29T12:46:04.000Z,1434121.63671875,17342.0306880734
50559,12,HRFE,Interactive,2011-11-22T00:00:00.000Z,3,121A,,2019-10-29T12:46:04.000Z,36688310.2890625,41600.8264364023
50560,41,HRFE,Interactive,2011-11-22T00:00:00.000Z,4,412B,,2019-10-29T12:46:04.000Z,11684185.3867188,22450.0122851181
50561,09,HRFE,Interactive,2011-11-22T00:00:00.000Z,3,96C,,2019-10-29T12:46:04.000Z,577538.4375,3386.24666536874
50562,45,HRFE,Interactive,2011-11-22T00:00:00.000Z,4,452B,,2019-10-29T12:46:04.000Z,14219456.4570313,20849.5014892076
50563,09,HRFE,Interactive,2011-11-22T00:00:00.000Z,3,93C,,2019-10-29T12:46:04.000Z,641269.32421875,4680.49978368442
50564,09,HRFE,Interactive,2011-11-22T00:00:00.000Z,3,95A,,2019-10-29T12:46:04.000Z,1519655.93359375,5411.512193601
50565,09,HRFE,Interactive,2015-10-22T00:00:00.000Z,3,94H,,2019-10-29T12:46:04.000Z,250972.3515625,7406.19098594967
