YEAR,INCIDENTS,RATES,id,Region Id
12/31/2013 0:00,1,0,8,3
12/31/2011 0:00,0,0,13,2
12/31/2015 0:00,0,0,10,1
12/31/2011 0:00,344,85.48,6,4
12/31/2016 0:00,0,0,6,1
12/31/2012 0:00,1527,375.37,7,4
12/31/2011 0:00,85,21.12,5,4
12/31/2015 0:00,0,0,6,3
12/31/2010 0:00,0,0,6,3
12/31/2016 0:00,0,0,4,1
12/31/2014 0:00,0,0,10,1
12/31/2016 0:00,0,0,5,2
12/31/2010 0:00,0,0,5,2
12/31/2010 0:00,0,0,11,3
12/31/2014 0:00,0,0,1,3
12/31/2016 0:00,0,0,14,1
12/31/2011 0:00,0,0,12,1
12/31/2012 0:00,0,0,4,3
12/31/2011 0:00,18,4.47,4,4
12/31/2013 0:00,0,0,13,2
12/31/2017 0:00,0,0,9,1
12/31/2012 0:00,0,0,1,1
12/31/2014 0:00,0,0,14,2
12/31/2013 0:00,1719,419.18,1,4
12/31/2010 0:00,4,0,10,3
12/31/2011 0:00,0,0,1,3
12/31/2017 0:00,0,0,5,2
12/31/2015 0:00,0,0,15,3
12/31/2016 0:00,0,0,7,3
12/31/2016 0:00,0,0,10,1
12/31/2010 0:00,11,2.76,4,4
12/31/2017 0:00,0,0,3,2
12/31/2010 0:00,0,0,7,3
12/31/2010 0:00,35,8.79,14,4
12/31/2012 0:00,0,0,14,2
12/31/2010 0:00,0,0,10,2
12/31/2014 0:00,0,0,5,1
12/31/2012 0:00,0,0,11,2
12/31/2017 0:00,1121,259.66,10,4
12/31/2017 0:00,0,0,15,2
12/31/2016 0:00,0,0,4,3
12/31/2013 0:00,200,48.77,8,4
12/31/2017 0:00,0,0,4,3
12/31/2016 0:00,0,0,15,1
12/31/2011 0:00,115,28.58,9,4
12/31/2014 0:00,32,7.74,3,4
12/31/2010 0:00,0,0,13,3
12/31/2016 0:00,0,0,6,1
12/31/2010 0:00,0,0,6,2
12/31/2014 0:00,47,11.36,14,4
12/31/2010 0:00,0,0,15,3
12/31/2011 0:00,0,0,5,3
12/31/2016 0:00,82,19.3,9,4
12/31/2016 0:00,0,0,15,2
12/31/2010 0:00,1080,271.19,11,4
12/31/2015 0:00,0,0,1,1
12/31/2013 0:00,0,0,5,1
12/31/2014 0:00,0,0,6,2
12/31/2014 0:00,1,0.24,6,4
12/31/2014 0:00,0,0,6,1
12/31/2013 0:00,0,0,13,2
12/31/2013 0:00,0,0,1,1
12/31/2011 0:00,32,7.95,12,4
12/31/2017 0:00,124,28.72,15,4
12/31/2015 0:00,0,0,12,2
12/31/2012 0:00,0,0,1,3
12/31/2012 0:00,79,19.42,5,4
12/31/2012 0:00,0,0,15,3
12/31/2014 0:00,0,0,1,2
12/31/2012 0:00,0,0,6,3
12/31/2013 0:00,0,0,9,3
12/31/2017 0:00,0,0,7,1
12/31/2016 0:00,0,0,6,3
12/31/2015 0:00,0,0,5,2
12/31/2014 0:00,200,48.36,8,4
12/31/2015 0:00,0,0,6,3
12/31/2013 0:00,0,0,5,3
12/31/2017 0:00,15,3.47,3,4
12/31/2014 0:00,0,0,6,3
