OBJECTID,BUSSTOPID,STOPNUMBER,LTAR,LOCATION,FCODE,ADDDATE,MODDATE
1649,BS5,8900,Yes,Hwy 207 Before Grand Desert Station Rd (8900),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-09-18T00:00:00.000Z
1650,BS4,8899,Yes,Hwy 207 At Civic 6344 (8899),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-09-18T00:00:00.000Z
1651,BS1145,8798,Yes,Hwy 207 Opposite Civic 6344 (8798),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-09-18T00:00:00.000Z
1652,BS1444,8793,Yes,Hwy 207 At Bellefontaine Rd (8796),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-09-18T00:00:00.000Z
1653,BS2697,8645,Yes,Hwy 207 At Civic 7396 (8645),Conventional Transit Bus Stop,2016-11-14T00:00:00.000Z,2018-09-18T00:00:00.000Z
1654,BS82,8746,Yes,Beaver Bank Rd Before Rosley Rd (8746),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
1655,BS1105,7393,Yes,Old Sambro Rd Before Sussex St (7393),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-02-13T00:00:00.000Z
1656,BS617,6909,Yes,Herring Cove Rd After Shoreham Ln (6909),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1657,BS607,6899,Yes,Herring Cove Rd Before McIntosh St (6899),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1658,BS609,6901,Yes,Herring Cove Rd Before Melwood Ave (6901),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1659,BS618,6910,Yes,Herring Cove Rd Opposite Maplewood Dr (6910),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1660,BS612,6904,Yes,Herring Cove Rd Before Sylvia Ave (6904),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1661,BS1900,8103,Yes,Purcells Cove Rd At Civic 2907 (8103),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
1662,BS641,8124,Yes,Purcells Cove Rd Opposite Ferguson Cove Rd (8124),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
1663,BS443,6144,Yes,St Margarets Bay Rd After Beech Tree Run (6144),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1664,BS453,6154,Yes,St Margarets Bay Rd Before Beech Tree Run (6154),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
