CIV_POSTAL,CIV_ID,STR_CODE,GSA_NAME
B2W 6N3,131108,15645,DARTMOUTH
B3H 1M5,79085,837,HALIFAX
B3K 5C3,70108,877,HALIFAX
B3H 4B6,76861,71,HALIFAX
B2W 4A3,112812,6186,DARTMOUTH
B3P 2E1,81385,926,HALIFAX
B3P 2E1,81483,926,HALIFAX
B3B 1T3,47693,6711,DARTMOUTH
B3L 2Y5,73240,293,HALIFAX
B3J 1A4,77605,765,HALIFAX
B2Y 3H2,51976,6376,DARTMOUTH
B3A 2H3,50425,6222,DARTMOUTH
B3K 5S5,65957,1036,HALIFAX
B3L 1J8,72447,473,HALIFAX
B3M 3G3,9006,469,HALIFAX
B3R 1K6,24460,43,HALIFAX
B3P 2M1,83143,694,HALIFAX
B3H 4A5,78111,146,HALIFAX
B3A 3Z2,50398,6009,DARTMOUTH
B3M 4W6,121722,15689,HALIFAX
B2Y 3E1,55595,6347,DARTMOUTH
B3A 4B3,127076,6234,DARTMOUTH
B3K 3N2,60505,13,HALIFAX
B2Y 1H9,60564,6536,DARTMOUTH
B3K 3M2,62238,252,HALIFAX
B3K 2G2,64000,781,HALIFAX
B3N 3E1,78127,1010,HALIFAX
B2X 1L6,110704,6097,DARTMOUTH
B3A 2S7,56774,6667,DARTMOUTH
B3A 1L3,138642,6253,DARTMOUTH
B2W 2L7,110457,6708,DARTMOUTH
,68323,850,HALIFAX
B2Y 3N1,61569,6306,DARTMOUTH
,77888,767,HALIFAX
B3B 0B9,138897,16498,DARTMOUTH
B3M 1R9,10765,30,HALIFAX
B2X 3T6,107675,6394,DARTMOUTH
B2W 4Z3,111294,6503,DARTMOUTH
B3N 0C1,146404,16881,HALIFAX
B3B 1A2,132280,6545,DARTMOUTH
B3K 4K7,68776,430,HALIFAX
B3S 1H5,13347,1146,HALIFAX
B3M 4T6,138267,15584,HALIFAX
B3R 2N3,128936,15710,HALIFAX
B3S 1E7,13901,1085,HALIFAX
B3M 3G5,10340,606,HALIFAX
B2W 2J8,111305,6210,DARTMOUTH
B3A 4V5,138726,6666,DARTMOUTH
B3M 4J4,11736,983,HALIFAX
B3R 1B4,25523,628,HALIFAX
B2Y 1P3,59055,6223,DARTMOUTH
B3L 4T3,142228,570,HALIFAX
B3M 3G9,9750,698,HALIFAX
B3M 3X9,11105,1007,HALIFAX
B2X 3T2,107494,15433,DARTMOUTH
B2X 2L9,107763,6019,DARTMOUTH
B2Y 2B8,62350,6143,DARTMOUTH
B3N 1B1,80580,883,HALIFAX
B3P 1Y3,82096,684,HALIFAX
B3S 1H9,13106,15334,HALIFAX
B3H 3G1,132477,701,HALIFAX
B3A 4A2,146484,6369,DARTMOUTH
B3A 4A2,146486,6369,DARTMOUTH
B3H 4P3,80672,15407,HALIFAX
B3P 2S3,86065,15255,HALIFAX
B3K 3Z4,60719,267,HALIFAX
B3H 3K4,76189,393,HALIFAX
B3K 3S7,66216,599,HALIFAX
B3K 3V9,65980,338,HALIFAX
B3S 0C7,142947,16715,HALIFAX
B3R 2N2,128990,15710,HALIFAX
B3P 2L3,83092,904,HALIFAX
B2X 1M8,110339,6138,DARTMOUTH
B3B 2A3,132851,6096,DARTMOUTH
B2X 1K8,140390,6100,DARTMOUTH
B3A 1S7,52550,6119,DARTMOUTH
B2X 1L7,110870,6097,DARTMOUTH
B2X 1K9,110978,6100,DARTMOUTH
B3P 2L6,82331,134,HALIFAX
B3P 2J7,82411,158,HALIFAX
B3K 2L8,58991,272,HALIFAX
B3L 1Y7,72247,640,HALIFAX
B3L 2P1,67147,282,HALIFAX
B3A 1V9,55694,6678,DARTMOUTH
B3K 3M2,61218,252,HALIFAX
B3K 2N7,59708,683,HALIFAX
B2W 1J2,73598,6163,DARTMOUTH
B3A 2V6,57033,6653,DARTMOUTH
B2Y 2X7,58267,6212,DARTMOUTH
B2W 4H7,54460,6557,DARTMOUTH
B3H 3W5,80241,237,HALIFAX
B3P 2C4,83353,669,HALIFAX
B2Y 1L8,59724,6543,DARTMOUTH
B3N 1B6,81628,883,HALIFAX
B3R 2B8,25312,452,HALIFAX
B2Y 1A4,59911,6508,DARTMOUTH
B3R 1N7,23880,184,HALIFAX
B3A 4V5,138728,6666,DARTMOUTH
