OBJECTID,PARK_ID,OWNER,HRMINTRST,HECTARES,NAMESTATUS,NAMEAPRDTE,PARK_MAINT,GROUP_ID,ADDDATE,MODDATE,SDATE,SOURCE,SACC,GLOBALID,PARK_NAME,PARK_TYPE,DEVELOPED,CIVIC_ID,Shape__Area,Shape__Length
530,724,Halifax,Yes,1.59,N,,HRM,724,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2008-11-13T00:00:00.000Z,Asset Management Project,,e9113dd7-1642-4a8c-843b-f7399fad80ea,AVENUE DU PORTAGE PARK,Community,Yes,137116,31448.49219,964.130549
531,5137,Halifax,Yes,0.22,A,,HRM,5089,2019-02-08T21:05:13.000Z,2018-01-22T19:23:02.000Z,2007-11-06T13:52:43.000Z,Asset Management Project,,1ae44b22-289c-4a8c-b2ab-3414b95cb059,MERKEL PLACE PARK,Neighbourhood,Yes,147350,4254.898438,380.404941
532,1091,Halifax,Yes,0.75,N,,,1091,2019-02-08T21:05:13.000Z,2018-01-22T19:23:05.000Z,,,,f1f9da96-1959-4cc9-9cc4-f8590fc79e7d,AUTUMN DRIVE PARK,,Yes,147060,14862.65234,759.6992412
533,180,Halifax,Yes,0.39,N,,HRM,180,2019-02-08T21:05:13.000Z,2018-01-22T19:23:02.000Z,,Asset Management Project,,c9204d77-8409-40c4-84b4-f079a1213ae2,BROMPTON ROAD PARK,Neighbourhood,Yes,71512,7668.40625,670.2322642
534,175,Halifax,Yes,0.31,N,,HRM,175,2019-02-08T21:05:13.000Z,2018-01-22T19:23:05.000Z,2009-05-11T00:00:00.000Z,Asset Management Project,,5a83956d-0e11-45b8-a6ee-0e7efffceb6d,CHALAMONT DRIVE PARK,Neighbourhood,Yes,145280,6201.0625,324.266816
535,481,Halifax,Yes,0.09,N,,HRM,481,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,1989-10-01T00:00:00.000Z,Asset Management Project,,b4732c47-6b2a-4e35-8132-b8fce33e82c7,WELLINGTON FIRE HALL PARK,Community,Yes,146553,1887.179688,187.8376841
536,1889,Halifax,Yes,15.59,N,,HRM,1889,2019-02-08T21:05:13.000Z,2018-01-22T19:23:02.000Z,2008-06-19T00:00:00.000Z,Asset Management Project,,b9dbcfe2-607c-4448-ac89-86748fdc6445,BELCHERS MARSH PARK,District,Yes,127574,308259.2031,10568.71497
537,1628,Halifax,Yes,0.56,A,,HRM,1628,2019-02-08T21:05:13.000Z,2018-01-22T19:23:02.000Z,2009-01-13T00:00:00.000Z,Field Work Operations,,1760d595-95cb-4e3b-a34e-bc786787a84f,ISLEVILLE PARK,Community,Yes,61983,11152.10156,450.4387123
538,1638,Halifax,Yes,0.06,A,,HRM,1638,2019-02-08T21:05:13.000Z,2018-01-22T19:23:05.000Z,2009-01-13T00:00:00.000Z,Field Work Operations,,2987a1e9-43da-44f2-957d-ae37b3aac88a,BILBY STREET PARK,Neighbourhood,Yes,65501,1134.714844,136.9910749
539,1643,Halifax,Yes,0.47,A,,HRM,1643,2019-02-08T21:05:13.000Z,2018-01-22T19:23:02.000Z,2009-11-27T00:00:00.000Z,Asset Management Project,,c3cfa95d-3c25-4c01-b3f9-457a6a620b14,MEMORIAL DRIVE TRAIL,Community,Yes,147353,9310.441406,1009.47471
540,1663,Halifax,Yes,0.43,A,2013-09-23T00:00:00.000Z,HRM,1663,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2009-03-20T00:00:00.000Z,Asset Management Project,,687df938-21ee-4fee-a7f8-0bc84c2ef39b,CHEBUCTO ROAD PARK,Neighbourhood,Yes,127667,8456.125,627.08347
541,1665,Halifax,Yes,0.09,A,,HRM,1665,2019-02-08T21:05:13.000Z,2018-01-22T19:23:03.000Z,2009-03-10T00:00:00.000Z,Field Work Operations,,5e436c55-b470-4c54-8647-1d66a2986d79,NICK MEAGHER PARK,Community,Yes,71530,1723.578125,188.3697032
