OBJECTID,ROUTE_NUM,CLASS,TITLE,SOURCE,SACC,SDATE,DATE_ACT,DATE_REV,Shape__Length
99,194,PEAK,WEST BEDFORD EXPRESS,TRANSIT,IN,2017-08-21T00:00:00.000Z,2017-08-21T00:00:00.000Z,2019-02-18T00:00:00.000Z,43298.77012
100,123,BASE,TIMBERLEA EXPRESS,TRANSIT,IN,2018-08-20T00:00:00.000Z,2018-08-20T00:00:00.000Z,2019-02-18T00:00:00.000Z,31400.80678
101,183,WEEKDAY REGULAR,SPRINGFIELD EXPRESS,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,64691.07225
102,65,PEAK,CALDWELL,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2010-08-29T00:00:00.000Z,10762.39261
103,183,PEAK,SPRINGFIELD EXPRESS,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,64691.07225
104,90,WEEKDAY REGULAR,LARRY UTECK,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,38040.0158
105,401,WEEKDAY REGULAR,PRESTON - PORTERS LAKE - GRAND DESERT,TRANSIT,IN,2009-01-19T00:00:00.000Z,2009-01-19T00:00:00.000Z,2012-08-27T00:00:00.000Z,54290.41908
106,8,SUNDAY,SACKVILLE,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,43348.01169
107,401,PEAK,PRESTON - PORTERS LAKE - GRAND DESERT,TRANSIT,IN,2009-01-19T00:00:00.000Z,2009-01-19T00:00:00.000Z,2012-08-27T00:00:00.000Z,54290.41908
108,65,WEEKDAY REGULAR,CALDWELL,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2010-08-29T00:00:00.000Z,10762.39261
109,87,SATURDAY,SACKVILLE - DARTMOUTH,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,34732.21927
110,65,SATURDAY,CALDWELL,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2010-08-29T00:00:00.000Z,10762.39261
111,65,SUNDAY,CALDWELL,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2010-08-29T00:00:00.000Z,10762.39261
112,58,BASE,WOODLAWN,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2018-02-07T00:00:00.000Z,16373.81744
113,66,SUNDAY,PENHORN,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,17877.31503
114,55,BASE,PORT WALLACE,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2012-08-27T00:00:00.000Z,19067.13855
115,68,SATURDAY,CHERRYBROOK,TRANSIT,IN,2002-12-10T00:00:00.000Z,2002-12-10T00:00:00.000Z,2018-02-07T00:00:00.000Z,29765.36858
116,68,WEEKDAY REGULAR,CHERRYBROOK,TRANSIT,IN,2002-12-10T00:00:00.000Z,2002-12-10T00:00:00.000Z,2018-02-07T00:00:00.000Z,29765.36858
117,330,WEEKDAY REGULAR,TANTALLON - SHELDRAKE LAKE METROX,TRANSIT,IN,2009-08-30T00:00:00.000Z,2009-08-30T00:00:00.000Z,2019-11-25T00:00:00.000Z,84540.75665
118,62,BASE,WILDWOOD,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2018-02-07T00:00:00.000Z,23753.79966
119,59,SUNDAY,COLBY,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2018-02-07T00:00:00.000Z,21745.45031
120,59,WEEKDAY REGULAR,COLBY,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2018-02-07T00:00:00.000Z,21745.45031
121,59,SATURDAY,COLBY,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2018-02-07T00:00:00.000Z,21745.45031
122,53,SATURDAY,NOTTING PARK,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2012-08-27T00:00:00.000Z,8967.542228
123,53,SUNDAY,NOTTING PARK,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2012-08-27T00:00:00.000Z,8967.542228
124,53,WEEKDAY REGULAR,NOTTING PARK,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2012-08-27T00:00:00.000Z,8967.542228
125,7,BASE,ROBIE,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,20907.03809
126,14,BASE,LEIBLIN PARK,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2003-08-25T00:00:00.000Z,28417.44047
127,8,WEEKDAY REGULAR,SACKVILLE,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,43348.02016
