FULL_NAME,STR_TYPE,STR_CODE_L,Shape__Length
CHURCH CRT,CRT,7276,182.1332036
CHURCH DR,DR,7277,202.9178457
CHURCH LOOP,LOOP,7279,982.5855882
SAMS LANE,LANE,8612,703.8252955
SANCTUARY CRT,CRT,8613,1356.290878
SANDRA DR,DR,8615,597.2003142
SAWDUST RD,RD,8630,291.11234
KELLY RD,RD,7908,1675.348917
KENDRA CRES,CRES,7912,283.7755632
MCMULLIN RD,RD,8181,7629.811271
ANDOVER ST,ST,6019,1158.131344
APPIAN WAY,WAY,6020,2048.453994
PINE HLLW,HLLW,6526,103.6496128
MADELINE PL,PL,6423,138.0765913
GLENMORE RD,RD,7624,8742.06068
ELLIS CRT,CRT,6213,148.8079518
ETHEL CRT,CRT,6227,197.8843596
EVANS CRT,CRT,6228,252.7670037
FADER ST,ST,6230,713.8138639
FOREST CRT,CRT,6245,158.1517772
BYRON CRES,CRES,6097,300.0120848
SUTHERLAND TERR,TERR,6643,220.3556014
TERREBONNE CRT,CRT,6650,258.9048951
TOBERMORY RD,RD,6658,468.9237151
TUMMELL DR,DR,6668,267.192992
VENICE CRT,CRT,6676,201.0474788
ST PAULS AVE,AVE,8778,862.4172325
STACEY LANE,LANE,8780,130.5528529
STAGE RD,RD,8781,1112.687674
STAN GAMMON LOOP,LOOP,8783,1165.591531
STANBRAE RD,RD,8784,550.9514984
STATION RD,RD,8787,2232.580106
STATION RD,RD,8788,673.2920988
STAYNER DR,DR,8789,626.9237555
EAST PENNANT RD,RD,7465,2175.260457
HIGHWAY 103 EB EXIT 4 OFF RAMP,RAMP,15106,616.4344105
HIGHWAY 103 WB EXIT 4 ON RAMP,RAMP,15107,938.6456302
HIGHWAY 103 WB EXIT 5 OFF RAMP,RAMP,15108,699.4785318
HIGHWAY 103 EB EXIT 5 ON RAMP,RAMP,15109,887.4684459
CLYSDALE DR,DR,6146,503.158588
SPRUCEWOOD CRT,CRT,6624,237.2243821
EMMA CRT,CRT,15530,289.2602624
PRINCETON LANE,LANE,15541,411.728534
SHARI ANN CRT,CRT,6603,166.3126072
WEST PETPESWICK RD,RD,5549,8736.391361
OSTREA LAKE RD,RD,8387,16267.57919
HIGHWAY 103 ETA 292,,17160,42.97918484
HIGHWAY 103 ETA 289,,17159,39.64556273
FIRE RD,RD,16757,624.2389426
ANDERSON RD,RD,6945,3018.875191
HIGHWAY 102 NB EXIT 4A HIGHWAY 101 EB RAMP,RAMP,15195,667.8560508
HIGHWAY 102 SB EXIT 4A HIGHWAY 101 EB RAMP,RAMP,15196,513.3725064
HIGHWAY 101 EB EXIT 1G HIGHWAY 102 SB RAMP,RAMP,15197,738.5215592
HIGHWAY 102 NB EXIT 4B HIGHWAY 101 WB RAMP,RAMP,16782,65.6203332
RIVERSIDE AVE,AVE,8548,772.4055392
HIGHWAY 103 ETA 282,,17157,43.03977273
HIGHWAY 103 ETA 288,,17158,56.76245438
HIGHWAY 103 ETA 276,,17155,41.72557056
FLOOD LANE,LANE,16758,290.2707387
SMOKE RD,RD,16759,887.7022922
FOGGY HILL,HILL,16760,480.5514784
READY RD,RD,16761,111.454198
GAS LANE,LANE,16762,179.6472459
HIGHWAY 7, ,10471,7169.050796
HIGHWAY 102 SB EXIT 3 ON RAMP,RAMP,15200,1079.500427
HIGHWAY 102 SB EXIT 3 OFF RAMP,RAMP,15201,1159.459993
HIGHWAY 101 WB EXIT 2 ON RAMP,RAMP,15202,742.7436181
HIGHWAY 101 WB EXIT 2 OFF RAMP,RAMP,15203,736.8192554
WINDSURF LANE,LANE,16326,200.945099
ROSEWOOD CRT,CRT,10835,266.5178916
OCONO CRT,CRT,6497,78.86113164
MURIEL AVE,AVE,6472,528.7158242
SEROTINA LANE,LANE,66806,249.9727003
DONVIEW DR,DR,6188,411.2757312
MEADOWVALE LANE,LANE,8190,304.78858
MEGAN CRES,CRES,8191,642.7436127
SOUTHWEST COVE RD,RD,8751,1796.442072
SPINNAKER DR,DR,8757,177.6565234
KINGS RD,RD,7931,7702.678893
KINGSMERE CRT,CRT,7933,276.4944549
ORKNEY DR,DR,6502,392.7100353
GOLD MINE RD,RD,15826,336.3507627
KENNETH DR,DR,15429,362.4552616
WOODY DR,DR,15829,423.7657528
COUSINS LANE,LANE,15836,137.11066
YANCH RD,RD,15711,191.8452015
AQUATIC DR,DR,16095,220.6145029
DOHERTY DR,DR,7424,2420.584776
SHORE LOOP,LOOP,16266,149.0603947
PLEASURE ISLAND WA,WA,16025,639.1847226
OLD COBEQUID RD,RD,10738,421.8171143
GLACIER RG,RG,16336,608.9249575
NAUTICAL WAY,WAY,15766,925.8568566
PLAZA DR,DR,6532,310.3057724
BEL AYR AVE,AVE,6047,667.7352005
BELL ST,ST,6049,105.3501094
PUFFIN DR,DR,16345,423.3232219
BROADWAY ST,ST,7166,528.8674465
TAILEND RD,RD,15837,271.2317518
EAST PETPESWICK RD,RD,7466,16128.47561
ELDERBANK BACK RD,RD,7485,6010.908018
CIDER MAPLE DR,DR,7285,342.3293696
WEST SHIP HARBOUR RD,RD,7290,4747.701536
BEACH RD,RD,7291,2161.536831
CLARE CRT,CRT,7293,144.8352673
CLARENCE AVE,AVE,7294,621.1529681
CLEARWATER DR,DR,7295,534.8185655
COLLINS GROVE CRT,CRT,6150,122.0644533
PIPER ST,ST,6531,291.4064022
MEDWAY CRT,CRT,6446,252.3620124
COLLINS GROVE RG,RG,6149,81.34807744
BARREN RD,RD,7033,1600.558036
BARRETT RD,RD,7034,772.8311291
BARRY CRES,CRES,7035,453.6585783
BASIN VISTA DR,DR,7039,450.7215338
BASINVIEW RD,RD,7040,421.3564338
BAY CRT,CRT,7042,197.4573941
BAY RD,RD,7043,335.7495202
ROOKERY WAY,WAY,7045,999.1068938
BAYSHORE DR,DR,7048,325.6442337
BAYSIDE DR,DR,7049,807.6983541
BAYVIEW DR,DR,7050,1088.909411
BAYVIEW DR,DR,7051,1449.295174
COLGROVE AVE,AVE,7313,1584.275265
COLLINS DR,DR,7315,298.8958882
SPRINGREEN DR,DR,8763,1701.804251
SPRUCE GROVE CRT,CRT,8768,223.7425449
SPRUCEVALE DR,DR,8770,432.5063856
SPRUCEVIEW DR,DR,8771,312.18884
SPRUCEWOOD AVE,AVE,8772,463.9077806
ST GEORGE BLVD,BLVD,8776,6538.281133
EAGLE POINT DR,DR,7458,407.5713678
JAMES ST,ST,7836,1475.090991
EARLS RD,RD,7460,288.1836881
BULL POINT RD,RD,7462,639.4765591
ECHO CRT,CRT,7471,235.7944022
ECHO FOREST DR,DR,7473,975.605057
HUMMINGBIRD DR,DR,7474,621.5852787
CHESHIRE LANE,LANE,7269,506.0309388
CHESTNUT DR,DR,7270,400.2877429
HATTIE LANE,LANE,7718,131.053764
SANFORD RD,RD,8183,1159.886663
MEADOW DR,DR,8186,506.1914889
MEADOWBROOK DR,DR,8188,1842.794718
PAUL DAVID CRT,CRT,6516,369.2938475
STARGAZER DR,DR,17174,1373.486085
EAST JEDDORE RD,RD,7464,9034.521407
VERBENA CRT,CRT,17175,111.6999096
HIGGINS LAKE RD,RD,7746,5938.150036
HIGGINSVILLE RD,RD,7747,7837.024735
ROTHWELL ST,ST,8583,985.0532304
ROUND TUIT RD,RD,8584,251.6571128
ROUPEN CRT,CRT,8585,409.1023992
SANDSTONE AVE,AVE,8617,803.9212536
SANDSTONE DR,DR,8618,755.4138115
SANDY LANE,LANE,8619,1788.515446
SANDY COVE RD,RD,8620,2018.00582
PROSPECT WHARF RD,RD,7637,97.38317251
GRACE AVE,AVE,7641,130.8182927
GRAHAM SETTLEMENT RD,RD,7643,1886.956505
GRAND LAKE DR,DR,7645,1126.433781
MCCABE LAKE DR,DR,66690,6597.252441
MEGAN DR,DR,8192,716.8521702
MEGHAN CRT,CRT,8193,209.9996128
MEISNERS POINT RD,RD,8194,1010.181682
MELINDA AVE,AVE,8196,175.6317998
STONE WALL RD,RD,8799,246.4844573
STONEY CREEK DR,DR,8802,989.1785563
STONEYRIDGE LANE,LANE,8803,424.63176
STORNWAY DR,DR,8805,342.0447725
SUGAR MAPLE DR,DR,8809,678.9378053
SULLIVANS RD,RD,8810,89.16543799
SUNNYDALE DR,DR,8812,374.6880071
BOLING GREEN CRES,CRES,7122,662.8230975
